X,Y,STANDORTNR,KENNZEICH,NAMENR,ART_DTSCH,ART_BOT,GATTUNG_DEUTSCH,GATTUNG,STRNAME,HAUSNR,ZUSATZ,PFLANZJAHR,STANDALTER,KRONEDURCH,STAMMUMFG,BAUMHOEHE,BEZIRK,EIGENTUEMER
13.288509911949802,52.6586575393952,5234,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1912.0,108.0,,220.0,20.0,Reinickendorf,Land Berlin
13.289021439746499,52.65573389808971,022,04396-Str,STAEHLEWEG,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Staehleweg,,,1965.0,55.0,,94.0,12.0,Reinickendorf,Land Berlin
13.290571105552699,52.6557668753741,5265,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1975.0,45.0,,116.0,,Reinickendorf,Land Berlin
13.2905625725754,52.655784734277,5264,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1975.0,45.0,,97.0,,Reinickendorf,Land Berlin
13.290251210896999,52.6559009475992,5167,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1870.0,150.0,,427.0,20.0,Reinickendorf,Land Berlin
13.2904004038503,52.6559340906769,5263,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1912.0,108.0,,251.0,,Reinickendorf,Land Berlin
13.290294438091,52.6561315146399,5262,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,94.0,,Reinickendorf,Land Berlin
13.2903265418373,52.65614995992021,5261,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2903065752249,52.6561766448245,5260,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1975.0,45.0,,69.0,,Reinickendorf,Land Berlin
13.290031726108198,52.6562171559929,5168,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1880.0,140.0,,402.0,20.0,Reinickendorf,Land Berlin
13.290192604138598,52.6562279652738,5259,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1949.0,71.0,,163.0,20.0,Reinickendorf,Land Berlin
13.2899153034864,52.656384797935,5169,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1870.0,150.0,,414.0,,Reinickendorf,Land Berlin
13.2900626859164,52.656411367143605,5258,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1860.0,160.0,,465.0,22.0,Reinickendorf,Land Berlin
13.289845444675901,52.6564487109838,5170,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1970.0,50.0,,79.0,,Reinickendorf,Land Berlin
13.289792295455598,52.6565603314196,5171,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1970.0,50.0,,113.0,,Reinickendorf,Land Berlin
13.2897641083262,52.65657790656589,5172,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,100.0,,Reinickendorf,Land Berlin
13.2897103483183,52.65664456310579,5173,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.289923325458501,52.6566656192966,5256,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1980.0,40.0,,57.0,10.0,Reinickendorf,Land Berlin
13.2896927327684,52.65670008903751,5174,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1949.0,71.0,,166.0,,Reinickendorf,Land Berlin
13.2898383651772,52.6567353788099,5255,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1910.0,110.0,,267.0,20.0,Reinickendorf,Land Berlin
13.289594368703,52.65683170004029,5175,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1970.0,50.0,,79.0,,Reinickendorf,Land Berlin
13.2895113958157,52.6569383943038,5176,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1963.0,57.0,,132.0,,Reinickendorf,Land Berlin
13.2897110194383,52.656968249092294,5254,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1972.0,48.0,,75.0,,Reinickendorf,Land Berlin
13.289478618794199,52.6570053536656,5177,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1956.0,64.0,,110.0,,Reinickendorf,Land Berlin
13.2894334191686,52.6570496561472,5178,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1970.0,50.0,,79.0,,Reinickendorf,Land Berlin
